Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Darius Thompson;28;0;Emporia Armani Milano;28;9;3;4;13;20;248;50;1;2.02.2024;25;0,5;0,6;0,33
Will Clyburn;33;0;Emporia Armani Milano;32;8;7;3;9;6;248;50;1;2.02.2024;25;0,5;0,25;0,29
Elijah Bryant;29;0;Emporia Armani Milano;14;9;4;1;8;-11;248;50;1;2.02.2024;25;0,5;0,25;1
Rodrigue Beaubois;36;0;Emporia Armani Milano;14;4;0;0;1;-13;248;50;1;2.02.2024;25;0,5;0,4;0
Scottie Wilbekin;31;1;Panathinaikos Athens;27;10;5;2;15;0;573;90;4;9.02.2024;26;0,67;0,67;0,17
Nick Calathes;35;1;Panathinaikos Athens;28;12;3;5;12;-10;573;90;4;9.02.2024;26;0,67;0,43;0,33
Nigel Hayes-Davis;31;1;Panathinaikos Athens;33;4;4;1;-2;-12;573;90;4;9.02.2024;26;0,67;0,67;0
Marko Guduric;29;1;Panathinaikos Athens;12;0;1;2;-2;-10;573;90;4;9.02.2024;26;0,67;0;0
Shane Larkin;31;0;Maccabi Playtika Tel Aviv;38;22;4;6;32;15;0;0;5;8.02.2024;26;0,33;0,6;0,57
Rodrigue Beaubois;36;0;Maccabi Playtika Tel Aviv;15;20;2;3;19;17;0;0;5;8.02.2024;26;0,33;0,62;0,67
Will Clyburn;33;0;Maccabi Playtika Tel Aviv;26;10;7;2;13;2;0;0;3;8.02.2024;26;0,33;0,5;0,2
Derek Willis;28;0;Maccabi Playtika Tel Aviv;21;9;3;0;13;5;0;0;3;8.02.2024;26;0,33;0,67;1
Elijah Bryant;29;0;Maccabi Playtika Tel Aviv;15;4;7;5;6;14;0;0;3;8.02.2024;26;0,33;0,17;0
Darius Thompson;28;0;Maccabi Playtika Tel Aviv;21;5;0;1;-3;-1;0;0;3;8.02.2024;26;0,33;0,4;0
Shane Larkin;31;1;Partizan Belgrade;34;11;5;6;21;-10;799;90;7;29.02.2024;27;0,33;0,43;0,33
Will Clyburn;33;1;Partizan Belgrade;27;17;4;1;21;-8;799;90;7;29.02.2024;27;0,33;0,75;0,33
Derek Willis;28;1;Partizan Belgrade;21;7;4;0;10;1;799;90;7;29.02.2024;27;0,33;0,67;1
Rodrigue Beaubois;36;1;Partizan Belgrade;25;9;1;3;7;4;799;90;7;29.02.2024;27;0,33;1;0,25
Elijah Bryant;29;1;Partizan Belgrade;12;8;1;0;1;-13;799;90;7;29.02.2024;27;0,33;0,33;0,67
Nick Calathes;35;0;Baskonia Vitoria-Gasteiz;30;11;3;12;25;20;0;0;7;1.03.2024;27;0,33;1;0
Nigel Hayes-Davis;31;0;Baskonia Vitoria-Gasteiz;26;19;2;4;21;9;0;0;7;1.03.2024;27;0,33;0,5;0,67
Marko Guduric;29;0;Baskonia Vitoria-Gasteiz;20;13;0;6;14;14;0;0;7;1.03.2024;27;0,33;0,67;0,6
Scottie Wilbekin;31;0;Baskonia Vitoria-Gasteiz;16;1;1;2;0;-3;0;0;7;1.03.2024;27;0,33;0;0
Nigel Hayes-Davis;31;1;Real Madrid;32;17;12;2;26;8;2738;200;3;7.03.2024;28;0,8;0,5;0,5
Nick Calathes;35;1;Real Madrid;26;12;6;6;11;7;2738;200;5;7.03.2024;28;0,8;0,67;0,25
Scottie Wilbekin;31;1;Real Madrid;23;12;2;1;10;8;2738;200;3;7.03.2024;28;0,8;0,75;0,2
Marko Guduric;29;1;Real Madrid;18;8;3;2;10;8;2738;200;5;7.03.2024;28;0,8;0,33;0
Shane Larkin;31;0;FC Bayern Munich;26;28;3;4;33;21;0;0;7;7.03.2024;28;0,33;1;0,67
Will Clyburn;33;0;FC Bayern Munich;29;21;2;3;25;18;0;0;7;7.03.2024;28;0,33;0,67;0,43
Derek Willis;28;0;FC Bayern Munich;17;9;5;0;13;10;0;0;3;7.03.2024;28;0,33;1;0,25
Elijah Bryant;29;0;FC Bayern Munich;19;10;2;4;12;8;0;0;7;7.03.2024;28;0,33;0,33;0,4
Darius Thompson;28;0;FC Bayern Munich;20;10;1;3;12;19;0;0;3;7.03.2024;28;0,33;0,67;1
Rodrigue Beaubois;36;0;FC Bayern Munich;20;6;3;1;6;5;0;0;7;7.03.2024;28;0,33;0,5;0
Shane Larkin;31;1;LDLC ASVEL Villeurbanne;30;14;2;4;19;-10;2003;205;7;15.03.2024;29;0,33;0,8;0
Will Clyburn;33;1;LDLC ASVEL Villeurbanne;36;16;5;1;16;-1;2003;205;7;15.03.2024;29;0,33;0,38;0,5
Darius Thompson;28;1;LDLC ASVEL Villeurbanne;26;15;0;1;11;3;2003;205;4;15.03.2024;29;0,33;0,25;1
Rodrigue Beaubois;36;1;LDLC ASVEL Villeurbanne;23;9;0;3;10;-1;2003;205;4;15.03.2024;29;0,33;0;0,6
Derek Willis;28;1;LDLC ASVEL Villeurbanne;14;3;2;0;4;-8;2003;205;4;15.03.2024;29;0,33;0;0,5
Elijah Bryant;29;1;LDLC ASVEL Villeurbanne;13;0;2;3;3;9;2003;205;4;15.03.2024;29;0,33;0;0
Scottie Wilbekin;31;0;Valencia Basket;20;20;0;2;21;13;0;0;6;14.03.2024;29;0,2;0;0,6
Nigel Hayes-Davis;31;0;Valencia Basket;24;21;3;1;21;18;0;0;6;14.03.2024;29;0,2;0,75;0,57
Nick Calathes;35;0;Valencia Basket;19;4;3;9;14;14;0;0;4;14.03.2024;29;0,2;0,67;0
